"","x"
"875","So pleased for Elliott Whitehouse as well - despite much criticism he’s worked hard &amp; deserves his moment of glory today."
"876","@WhiteHouse The deadbeat governments allowed this to develop over years people.  Now it is all gung-ho to go after… https://t.co/LgIaUn3HX1"
"877","Elliot Whitehouse confirming my theory that he is in fact the world’s greatest player"
"878","""It's Happening""

#USA #WWG1WGA #QAnon https://t.co/efCcnNimLP"
"879","We were warned about John Bolton, a pre-eminent neocon, directing US foreign policy.  And now within days of Bolton… https://t.co/Ilm0UC90YF"
"880","@t0lerantparad0x @lilhobo17 @VikingBearGod @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan @thebradfordfile… https://t.co/5P3PD6tLfT"
"881","@JasonTrammell74 @AmericanVoterUS @WhiteHouse @realDonaldTrump Oh...What Am I doing?? I'm watching Donald Trump MAG… https://t.co/5vAq1jw2Rx"
"882","@eiadio @KTHopkins @WhiteHouse @POTUS @VP @SpeakerRyan @SenateMajLdr @GOP"
"883","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/nrsyGNscES"
"884","@thehill @SpeakerRyan @POTUS @StateDept Allocated From Congress To Combat @Russia's Election Meddling &amp; Cyber Attac… https://t.co/OW60Xm2ETO"
"885","@great_sweetleaf @GaryWolfinbarg1 @jimmykimmel @maddow Lost? What election did you witness? Isn’t he occupying the… https://t.co/AdIGtgUNTx"
"886",".@realDonaldTrump Calls ‘Washington Post’ Article About John Kelly Dust-Up A ‘Hit Job’. “The Washington Post is far… https://t.co/FRii7MYcCp"
"887","@mongiemania @WhiteHouse No not if you understand how military problems occur, keep working with steel and keep mil… https://t.co/qIBk6YS3aI"
"888","Everyone needs to sign the petition! 

https://t.co/cp0KLxPAO3 

You like porn? Sign this.

3 minutes out of your d… https://t.co/SqFAFRlZm6"
"889","@Logic_Triumphs @realDonaldTrump As the squatter in OUR @WhiteHouse is a FAKE @POTUS, so too is he a fake billionai… https://t.co/vFZd7oBYPI"
"890","@VP @POTUS And just what is that price? Sounds like all threat and no policy @WhiteHouse ! Just last week… https://t.co/T7ObUxhlAr"
"891","@johnmou3 @WhiteHouse i already know that. chinese military has attempt to acquire technologies i have developed. a… https://t.co/0lpMCB1H5N"
"892","@FoxNews @cvpayne I’m vehemently disgusted with this f**king president’s comments to the CIA officials asking him w… https://t.co/byPxUzOMGq"
"893","@RobbieEngland78 @poconomtn @President1Trump @WhiteHouse @chucktodd Control FREAKS! They can't bear to have lost co… https://t.co/OTvN8Sjita"
"894","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/vZSG1GF2yW"
"895","If you don't wish us to disappear...
If we ever made your Hell better...
If you want to feel good in the next month… https://t.co/vEe9f1tGfv"
"896","@Snouzy61 @jim_lewis1018 @WhiteHouse @BIGSEXYYT I know people like that here in MD.  They also keep pumping out bab… https://t.co/kY54DNMrnv"
"897","@mattyglesias @Circe4 #MAGA @WhiteHouse @POTUS @HouseDemocrats @HouseGOP Bring back DDT @CNN @MSNBC"
"898","@AmbRice44 @POTUS @WhiteHouse @AmbassadorRice It's been an honor to vote your corrupt party out of office."
"899","@WhiteHouse Amazing, it has never been the laws that work or don't work. It has always been up to people to apply t… https://t.co/mVbdMZA7a2"
"900","@MartyMarty222 @mmadwin @WayneDupreeShow @larryelder @blackreport @blackvoices @JudgeJeanine @seanhannity… https://t.co/S49oO2iXr8"
"901","@USApoRusski @WhiteHouse <U+042D><U+0442><U+043E> <U+0438><U+0445> <U+043E><U+043D> <U+0442><U+0443><U+043F><U+043E><U+0440><U+044B><U+043B><U+044B><U+043C><U+0438> <U+043D><U+0430><U+0437><U+0432><U+0430><U+043B>?"
"902","@jim_lewis1018 @Allthatjewelry @smidge9099 @LadyChesapeake @WhiteHouse @BIGSEXYYT You are going to lose this fight.… https://t.co/C7KuV4Wr5m"
"903","@FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse Reminder that we did not vote for a parent but for a Commander in Chief!"
"904","@WhiteHouse @LindaSuhler WHY R U LETTING  A  TERROR COUNTRY  CHIEF  BUY  DELAWAREN PORT?"
"905","Sums up Trump. I didnt melt the twin towers i swear i dint level world trade center, get that spot light off me, OB… https://t.co/FloOe0HI0U"
"906","@PamelaD66560527 @PsychoPatriot72 @jim_lewis1018 @WhiteHouse @BIGSEXYYT Pamela... The actual facts is there not abu… https://t.co/FXEroQBkMv"
"907","@LadyChesapeake @jim_lewis1018 @smidge9099 @WhiteHouse @BIGSEXYYT One more time.....illegal immigrants DO NOT get f… https://t.co/NWvkgvyH2r"
"908","Church &amp; State have collided w/in @WhiteHouse
1st, don't believe #Trump ever reads 8 page study
2nd time to… https://t.co/sGvMe47NxO"
"909","@UN @WhiteHouse @UNICEFIndia @HumanRightsCtte @SC_ST_INDIA @JaiBheem55 @jarariya91 @ROFL_INDIAN80 @Anjupra7743… https://t.co/XS4D9Yg1S1"
"910","@t0lerantparad0x @iLLWiLLTHEMiCK @VikingBearGod @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/x33u7lyB0z"
"911","@JohnRLaCuran2 @trish092059 @bossb1000 @NeisyGuerra4 @iShlomo_ @FLOTUS @WhiteHouse You’re"
"912","@MellifluousAlly @CherishingFaith @WhiteHouse My daughter is a heroine addict and she was not proscribed anything so I think your wrong!"
"913","@LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT I agree! I am upset with all the people on Medicaid that are… https://t.co/GmEh2jtQUa"
"914","Hey @GOP @HouseGOP @SenateGOP @HouseDemocrats @SenateDems @SenateFloor  @HouseFloor Hanlon Foundation 2024 YOU CAN… https://t.co/yFcPfbnGdg"
"915","Demand Accountability! Call the Whitehouse @ 202-456-1414. A call to Donald Trumps administration in supporting an… https://t.co/D8MWCTuGzL"
"916","@WhiteHouse @LindaSuhler And @chuckschumer @HouseDemocrats still fight and go again the @POTUS Trump the swamp need… https://t.co/3c7mA4Ix4n"
"917","@kami_whitehouse SKIRT"
"918","@PaulLee85 @thebradfordfile The Man is on Borrowed Time right Now.

@POTUS 
@DevinNunes

https://t.co/HLhyhtX4Bd https://t.co/5rgIAM3nev"
"919","@LadyChesapeake @kec2450 @jim_lewis1018 @smidge9099 @WhiteHouse @BIGSEXYYT Ignorant racist talk continues."
"920","@FLOTUS @WhiteHouse https://t.co/QRi3wxQ3hN dear first lady, I mailed this to your office last year I still haven't… https://t.co/ETXdeUAehh"
"921","@syd_davenport ok but did u look at his profile bc his bio says he’s the devil"
"922","@MaFlake @FoxNews @USNationalGuard @realDonaldTrump @POTUS @WhiteHouse @SenateGOP @SenateDems @HouseGOP… https://t.co/ub9zn02w9M"
"923","@USApoRusski @WhiteHouse <U+0422><U+0440><U+0430><U+043C><U+043F>, <U+043F><U+043E><U+043E><U+0431><U+0449><U+0430><U+0432><U+0448><U+0438><U+0441><U+044C> <U+0441> <U+043F><U+0440><U+0438><U+0431><U+0430><U+043B><U+0442><U+0438><U+0439><U+0441><U+043A><U+0438><U+043C><U+0438> <U+043B><U+0438><U+0434><U+0435><U+0440><U+0430><U+043C><U+0438>, <U+043F><U+043E><U+043D><U+044F><U+043B> <U+0447><U+0442><U+043E> <U+043E><U+043D><U+0438> <U+0442><U+0443><U+043F><U+0438><U+0446><U+044B> <U+0438> <U+0441><U+043A><U+0430><U+0437><U+0430><U+043B> <U+0438><U+043C> <U+044D><U+0442><U+043E> <U+0432> <U+043B><U+0438><U+0446><U+043E>… https://t.co/xhM0vxDgaa"
"924","@Shrthomas @MSNBC @WhiteHouse Trump needs to remove him &amp; I'm not sure I see that happening too soon."
"925","@MrDySee @JackPosobiec @WhiteHouse Warrant for Who?  In the US a sitting President cannot be arrested."
"926","@stranahan Wake the hell up @POTUS @realDonaldTrump @WhiteHouse"
"927","@MaFlake @FoxNews @USNationalGuard @realDonaldTrump @POTUS @WhiteHouse @SenateGOP @SenateDems @HouseGOP… https://t.co/ey1OqCvObW"
"928","@Saraleeandme @realDonaldTrump @POTUS @WhiteHouse He had to fight it.Lifetime in an unseen Oz, we wake to grim reality unimaginable. Praying"
"929","@USApoRusski @WhiteHouse <U+041F><U+0440><U+0438><U+0431><U+0430><U+043B><U+0442><U+0438><U+0439><U+0441><U+043A><U+0438><U+0435> <U+0441><U+043A><U+0443><U+043D><U+0441><U+044B> #<U+042D><U+0441><U+0442><U+043E><U+043D><U+0438><U+044F> #<U+041B><U+0430><U+0442><U+0432><U+0438><U+044F> #<U+041B><U+0438><U+0442><U+0432><U+0430> <U+0412><U+0441><U+0435> <U+0430><U+0440><U+043E><U+043C><U+0430><U+0442><U+044B> <U+0432> <U+0421><U+0428><U+0410>"
"930","@PamelaD66560527 @PsychoPatriot72 @jim_lewis1018 @WhiteHouse @BIGSEXYYT Pamela, here is what sanctuary state means… https://t.co/Fkl9dwQ5Wm"
"931","@WhiteHouse @DHSgov Trump wants to build a wall to appease his shrinking base. What is the military going to do?  H… https://t.co/ss3fMItItb"
"932","@TC_Woods @LukeCage___ @SpeakerRyan @WhiteHouse Speaking of morons, how is that swamp draining going?"
"933","@realDonaldTrump Sounds like your talking about the whitehouse"
"934","@FLOTUS @WhiteHouse Beautiful"
"935","Us Whitehouse kids gotta stick together."
"936","@WhiteHouse @DHSgov It is a Partisan issue when Trump wants to spend money to build a wall and deploy the military… https://t.co/GaMZidsOrB"
"937","@Anne28148866 @missykender @SethAbramson I hear he actually removed the sprinklers at #WhiteHouse sold on #ebay"
"938","@petermcteague @realDonaldTrump Oh another Whitehouse shake up, from president chaos... how long??? I say by the en… https://t.co/gCivk1S452"
"939","Apr 7 2018 12:30:01 (EST) Q !xowAT4Z3VQ ID: 9da7c7 937520
https://t.co/xB99y7P19i
Listen carefully.
#MAGA,… https://t.co/49wdkoNO73"
"940","""My fellow Americans...it's happening"" #ItsHappening #MAGA https://t.co/YHdT0cZJbl"
"941","@MaFlake @FoxNews @USNationalGuard @realDonaldTrump @POTUS @WhiteHouse @SenateGOP @SenateDems @HouseGOP… https://t.co/b737cM2hjR"
"942","@denisebatters @WhiteHouse @senatcarignan @SenatBoisvenu Did you have a nice vacation...the museums in Washington a… https://t.co/Xodsa0wMw7"
"943","@WhiteHouse you can't stop it"
"944","@taxes_s @realDonaldTrump Your are a fool to think he controls it all. The democrats would vote to save the Whiteho… https://t.co/YuKGILEXge"
"945","@TammyArra @AD_WHITMAN @DonDonsmith007 @TiffanyATrump @WhiteHouse @MichelleObama @POTUS @realDonaldTrump @VP @GOP… https://t.co/b2okgiMaRy"
"946","@WhiteHouse there's going to be Big Blue Wave"
"947","@USApoRusski @WhiteHouse <U+0423><U+043F><U+0441> .................................................. https://t.co/a4hLJn5ry8"
"948","@WhiteHouse  other people are wise to his lies"
"949","@WhiteHouse And one is having a idiot run this country"
"950","What does USA wants : Assad gone
What does FSA wants : Assad gone

Turkey is working with FSA, USA says FSA is ISIS… https://t.co/lo3Mxeclth"
"951","@realDonaldTrump @WhiteHouse Yah, gosh, sorry trump. First, how do you think we ended up in Syria? Obama was battli… https://t.co/PbhgP3a9xr"
"952","President Donald J. Trump is Standing Up for American Innovation https://t.co/OtooNRVZxU via @whitehouse"
"953","@WhiteHouse that's a pretty damn small base"
"954","@thehill What does @FLOTUS have to do with hiring and firing in the @WhiteHouse?"
"955","@ParaDeb @RealJamesWoods Racist? You're the Racist 4 even thinking Along racial lines! We're talking about Truth Sh… https://t.co/oJTMT5O48D"
"956","@TC_Woods @LukeCage___ @SpeakerRyan @WhiteHouse Do you see any irony tweeting under the name ""Drain The Swamp"" when… https://t.co/j756atuhjN"
"957","Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #supremecourt #hrc #white #Whitehouse #lawyer… https://t.co/9yrJsDaxg6"
"958","@WhiteHouse go ahead and try to use impeachment as you're running midterm people can't stand Trump he's going down the base won't win it"
"959","@LindaSuhler Posted... 
https://t.co/e10cITBqcM"
"960","@rodeoBULLmom @WhiteHouse @SchusterMJ Obama who he was the worst in history of our country. Even jimmy Carter is smiling"
"961","@Kevinmadkins3 @realDonaldTrump The Whitehouse would rather spend time I'm proving their public view,then address a… https://t.co/5HwHCD6iwY"
"962","@PamelaD66560527 @PsychoPatriot72 @jim_lewis1018 @WhiteHouse @BIGSEXYYT How is that possible? They can't receive an… https://t.co/z7DclOXTSx"
"963","tTime is running out to sign this petition. Please read about 5G and go here to sign.. https://t.co/ekZNKmLvvE"
"964","@therealcornett @junogsp5 @realDonaldTrump Don’t believe @realDonaldTrump or his @WhiteHouse @PressSec Realize they… https://t.co/2jqi7oz8Oa"
"965","I don't know bout you guy's but don't ya' think we should impeach @HillaryClinton now? What a Mess she's causing...… https://t.co/G16h9yp9ZZ"
"966","@poconomtn @President1Trump @WhiteHouse @chucktodd Exactly the same in the UK <ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7>..just a load of brain dead domestic terrorist's <ed><U+00A0><U+00BD><ed><U+00B6><U+0095><ed><U+00A0><U+00BC><ed><U+00B7><U+00AC><ed><U+00A0><U+00BC><ed><U+00B7><U+00A7><U+2665><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BE><ed><U+00B5><U+0093><ed><U+00A0><U+00BE><ed><U+00B5><U+0093><ed><U+00A0><U+00BE><ed><U+00B5><U+0093>"
"967","@Dax_x98 @SassyMsViolet @realDonaldTrump Where's the ""Kick the #FuckingMoron out of OUR @WhiteHouse "" option?"
"968","@cichuck Kushner family #RealEstate business secures loan amid #WhiteHouse probe
https://t.co/jLKt6aCXpU via rawsto… https://t.co/mgvIFiGN2r"
"969","The #world will be peace #forever.
Please RT for around the world. Please #RT 
#peace #war #Philosophy @whitehouse"
"970","@JasonTrammell74 @JenniferVally @WhiteHouse  https://t.co/cDaBdprprD"
"971","Demand an honest election system. Call the Whitehouse @ 202-456-1414 and support Donald Trump in keeping America gr… https://t.co/yEwohbvlA2"
"972","#US President #Trump fired #Tamim mercenaries from the #WhiteHouse, US reports predicted removing #AlUdeid Air Base… https://t.co/oROh4wteFv"
"973","@WhiteHouse_alt @LauraLoomer @ReneeCarrollAZ And hopefully some regulations on campaign funding!"
"974","939 Days - 17 Hours until we can #vote #Trump
out of office and fix the #whitehouse."
"975","@eads_chuck @WhiteHouse Eat shit . Respect your president no matter what or leave ."
"976","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/u3c9IQ8k5M"
"977","Attention dear subs, followers, friends, etc. If you value my livelihood and those of all types of sexworkers, plea… https://t.co/Oz6qeUgZtO"
"978","@SirJamesKoM @passionchica @TrumpTrainMRA4 @realDonaldTrump @USUN @UN @WhiteHouse Also, all Knight of Malta along w… https://t.co/lV3UFBpE1l"
"979","@GovHowardDean As it's been said before, D.C.,&amp; the WhiteHouse specifically, doesn't change you but it reveals who you are  @AlexWitt"
"980","@ralphdubofsky @BCOFBRAVE @BrandonMNichols @WhiteHouse @realDonaldTrump Yep. Wait there Ralph. It’s going to get be… https://t.co/cLBUi8wqKl"
"981","@mommytolucius @purestanger @Klearl13 @RiotAil @ColtonLHaynes @realDonaldTrump Trump is the king of using Tragedy f… https://t.co/iUVMfBhTdM"
"982","@realDonaldTrump So does this mean Putin’s invite to the Whitehouse is rescinded?"
"983","@realDonaldTrump @WhiteHouse @TheJusticeDept @AGJeffBSessions <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> https://t.co/FxoStPVVqw"
"984","@JihadiJew Let him know how you feel.
https://t.co/8lV6cnOTC0"
"985","@WhiteHouse WWG1WGA!!!"
"986","cc: @whitehouse @POTUS @DonaldJTrumpJr @EricTrump https://t.co/cp3OGiTEGf"
"987","Danny Cowley on Elliot Whitehouse: 'Delighted for him. You haven't seen anyone in football who works as hard as him… https://t.co/47muXW0xDh"
"988","League Two Lincoln upset Shrewsbury to win Checkstrade Trophy: Elliott Whitehouse’s tap-in… https://t.co/g3SMqYOMuc"
"989","@MillennialStorm @DonteDahOne @LockDemsUp @VikingBearGod @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/E0r5DBgLBH"
"990","@The_UnSilent_ @realDonaldTrump @WattersWorld She was innocent. When did you get your lobotomy. She left the  white… https://t.co/iYXApbZ1C0"
"991","@MillennialStorm @DonteDahOne @LockDemsUp @VikingBearGod @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/zCbHDGKKcq"
"992","@President1Trump @WhiteHouse @chucktodd @chucktodd  = the @jimmykimmel of Sunday morning news shows.

Circling the drain ain't healthy."
"993","@ralphdubofsky @BCOFBRAVE @BrandonMNichols @WhiteHouse @realDonaldTrump Ralph your stupid. Just admit it. You are t… https://t.co/UAjUDZnqfT"
"994","@LockDemsUp @lilhobo17 @VikingBearGod @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan @thebradfordfile… https://t.co/mLcyrMCj2J"
"995","@LukeCage___ @SpeakerRyan @WhiteHouse Thank you, well said"
"996","@usembassyMVD @POTUS @WhiteHouse @USAenEspanol @USEMBASSYPERU @CumbreAmericas Qe cerca qe estará el presidente de y… https://t.co/j32yFDNMXT"
"997","@FLOTUS @KyleKashuv @WhiteHouse You are a beautiful, wonderful person. <ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BE><ed><U+00A0><U+00BC><ed><U+00BC><U+00BB><ed><U+00A0><U+00BC><ed><U+00BC><U+00BE>"
"998","@freebird_Pepper @USNJack @realDonaldTrump @WhiteHouse @POTUS ""They"" don't have to threaten them. The ""deep state""… https://t.co/4EBaxh2Zkh"
"999","@FreedomWorks #MAGA in progress @realDonaldTrump @WhiteHouse @EPAScottPruitt"
"1000","@FrancesRauer @realDonaldTrump @WattersWorld @WhiteHouse She blames everbody else but trump she is having a melt down"
"1001","Pro Illegals Protest @ Immigration Detention Center GREETED by ICE SUPPORTERS LOOK AT THIS @JudicialWatch… https://t.co/RYF3RhQY4m"
"1002","@President1Trump @_SierraWhiskee @WhiteHouse @chucktodd Oh. But F. Chuck Todd is not biased. Right?"
"1003","@TC_Woods @LukeCage___ @SpeakerRyan @WhiteHouse  https://t.co/ROZ34i8JDm"
"1004","Lincoln shock Shrewsbury to win EFL Trophy with Elliott Whitehouse goal https://t.co/mpk8yhqjEu #salop #shrewsFC"
"1005","@realDonaldTrump @KerstiKaljulaid @Grybauskaite_LT @Vejonis @WhiteHouse That’s good your 100 day keep up the good"
"1006","@realDonaldTrump @WhiteHouse <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> https://t.co/M0RvuzrP2u"
"1007","REPORT: Elliott Whitehouse scored the only goal of the game as @LincolnCity_FC beat @shrewsweb 1-0 to win the… https://t.co/IsxLPs44W7"
"1008","@IndyPendant1776 @LukeCage___ @SpeakerRyan @WhiteHouse nah... just trying to make sense of things. I noticed in you… https://t.co/sNQGJHodD3"
"1009","@ralphdubofsky @BCOFBRAVE @BrandonMNichols @WhiteHouse @realDonaldTrump The Paris accord was for the birds.  Look i… https://t.co/CjfQj0gIYN"
"1010","@1cutie4u2c @TG4FAVOR @WhiteHouse Tough question.  We could choke the flow almost to zero by making it illegal to w… https://t.co/MKWEVvGMjm"
"1011","@realDonaldTrump Said #FalseFlag #DonaldTrump. 
I am sure Sir, the animal is sitting in the #WhiteHouse of the USA… https://t.co/IULVh2LidG"
"1012","@realDonaldTrump, the FAKE @POTUS currently squatting in OUR @WhiteHouse, needs to be held accountable for the loss… https://t.co/GeAFgO45oc"
"1013","This right here is EVERYTHING WRONG WITH MSM....  They know low info people believe almost  anything they say. I ac… https://t.co/PvkW7g8Tai"
"1014","@FoxNews @WhiteHouse THATS NEWS?"
"1015","@President1Trump @WhiteHouse @chucktodd Chucky boy cannot face the truth ! He's fixated on stupid and being ignorant !"
"1016","@LukeCage___ @SpeakerRyan @WhiteHouse Obama is not the POTUS anymore. He is a dumbass"
"1017","@President1Trump @WhiteHouse @chucktodd Its been called fake news hefore CNN and nothings changed there"
"1018","@TC_Woods @LukeCage___ @SpeakerRyan @WhiteHouse Are you talking to yourself again? You know they say that's the first sign of madness."
"1019","@kylegriffin1 Lights are on but nobody at home at both Trump Tower and the Whitehouse"
"1020","@WhiteHouse So a few people die because of overdose or because they cannot control their so-called 'addiction',  is… https://t.co/E499I2hXQl"
"1021","#Animal is in the #WhiteHouse 
#CIA #falseflag
What #Syria is really like today. 
https://t.co/78yJ4rhpW3 
#Russia… https://t.co/qMNSApB7EC"
"1022","@ralphdubofsky @BCOFBRAVE @BrandonMNichols @WhiteHouse @realDonaldTrump But your memes...they are meant to support… https://t.co/DBwNKEqXut"
"1023","@VP @realDonaldTrump @POTUS @WhiteHouse 
We the People have been lied to SO much, esp in the past! Can you please h… https://t.co/cWk3uRc6Fp"
"1024","@President1Trump @WhiteHouse @chucktodd #TotalFakeNews
#ChuckToddTheShithole"
"1025","Elliott Whitehouse's tap-in helps League Two Lincoln City upset Shrewsbury to win the… click https://t.co/vUvivyGHjh"
"1026","@jaketapper @larry_kudlow The Whitehouse is sounding like another chaotic internal popularity contest from a differ… https://t.co/gU5bzd3SFW"
"1027","@LockDemsUp @iLLWiLLTHEMiCK @VikingBearGod @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan @thebradfordfile… https://t.co/RXFMQrLW0t"
"1028","""You can't build a wall if your hands are too small!""
@VicenteFoxQue T-SHIRT MOCKING @POTUS @realDonaldTrump
@GOP… https://t.co/7gKcnv7qKM"
"1029","@President1Trump @WhiteHouse @chucktodd Somebody wake up that sleeping MoFo"
"1030","Statement by the Press Secretary ISIS ALMOST COMPLETELY DESTROYED IN SYRIA  on Syria https://t.co/uqbSkHK1Kr via @whitehouse"
"1031","@freebird_Pepper @USNJack @POTUS @realDonaldTrump @WhiteHouse Probably because he commits war crimes like it's nobody's business."
"1032","@realDonaldTrump @potus @DaveBratVA7th @WhiteHouse PLS ALL HELP THESE POOR INNOCENT ANIMALS NOW! I PRAY AMEN https://t.co/Q5iaSHnYI6"
"1033","@USApoRusski @WhiteHouse <U+041E><U+043F><U+0442><U+043E><U+043C> <U+043F><U+0440><U+0438><U+043D><U+0438><U+043C><U+0430><U+0435><U+0442>."
"1034","Proud moment for Lincoln <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+26BD><U+FE0F> https://t.co/SDLFL1B0nS"
"1035","#Syria The incapable blathering idiot illegitimately in the whitehouse spends his time blaming real President Obama… https://t.co/53oVItizdj"
"1036","@FLOTUS @WhiteHouse @FLOTUS you did a great job, thank you. I think I speak for most, we all like you, your husband tho, not so much"
"1037","@President1Trump @WhiteHouse @chucktodd When isn’t chuck triggered. It just makes him look sleepier"
"1038","@ShafPatel @realDonaldTrump No u r wrong,The real AMERICAN Patriots would have him stay n the Whitehouse forever,He… https://t.co/bOqAu9obeQ"
"1039","Lincoln shock Shrewsbury to win EFL Trophy with Elliott Whitehouse goal https://t.co/zij89VhBEO"
"1040","@JuddLegum Hope the victim's family sues... @WhiteHouse"
"1041","Why not send active duty personell I/E 82nd Airborne,U.S.Marines ect?What You Need to Know About the President’s Au… https://t.co/qMdpbdX22y"
"1042","@votevets As I've said before, we have no Commander-in-Chief.  I refuse to call the occupant of the @WhiteHouse ""President""."
"1043","@AmericaWeWin

#OneLoudVoice #SecondAmendment #GunRights #WhiteHouse #JimmyCarter #Collectivelly #Merica… https://t.co/omTehPprgH"
"1044","@SaraCarterDC and @MZHemingway and @ByronYork 
   -  Isn't this illegal ? - @WhiteHouse @JaySekulow https://t.co/kCKYuWtroB"
"1045","https://t.co/6L6AqF2I0e https://t.co/ZQM3TOyUys"
"1046","@WhiteHouse I know America is getting screwed in them unfair trade agreements . Thank u Obama and bill Clinton. Thi… https://t.co/TNMoBD8qZH"
"1047",".@whitehouse &amp; donors, funding has helped #fightfamine but more needed. Support @WFP &amp; others w/ $4.9bn for 20M ppl facing extreme hunger"
"1048","@poconomtn @President1Trump @WhiteHouse @chucktodd I’ve never seen such hate in my life! Pray for these ppl<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"1049","@LukeCage___ @SpeakerRyan @WhiteHouse It's all the same as here, leftists blaming the president for everything, and… https://t.co/WBDZI54VgN"
"1050","Block California from participation in Federal Elections | We the People… https://t.co/HHXcxN2fqK #internet #news"
"1051","@USApoRusski @WhiteHouse <U+0443><U+0431><U+043E><U+0433><U+0438><U+0435> <U+0438> <U+0441><U+043C><U+0435><U+0448><U+043D><U+044B><U+0435> <U+0441><U+044F><U+0432><U+043A><U+0438> <U+043F><U+0435><U+0440><U+0432><U+044B><U+0435> <U+0441><U+0434><U+043E><U+0445><U+043D><U+0443><U+0442> https://t.co/UCVtSaaPEP"
"1052","@tom_trotts @realDonaldTrump @POTUS @VP @WhiteHouse @marklevinshow I believe in President Trump and know he's nothi… https://t.co/vKoP1dl5NP"
"1053","@WhiteHouse I saw a billboard claiming availability of marijuana brought down death rate from opioids about 26%. Wh… https://t.co/QokOOUs8dZ"
"1054","@President1Trump @WhiteHouse @chucktodd  https://t.co/B7I5rc6bHF"
"1055","What does @realDonaldTrump have to hide? Taxes, Russia tapes, sketchy loans and business dealings, Ethics corruptio… https://t.co/umndmoXhdA"
"1056","cc @realDonaldTrump @POTUS @WhiteHouse @DonaldJTrumpJr @EricTrump @DRUDGE_REPORT DO NOT ATTACK SYRIA!
#SundayMorning https://t.co/Cq4yMLPupv"
"1057","@SandbackaEmilia @shelley_bean60 @WhiteHouse @NSCsafety Yes, I agree."
"1058","DHS Secretary to Trump Supporters: Replacement Fencing at Southern Border Is 'The Trump Border Wall' | Breitbart… https://t.co/b6x2owObdC"
"1059","@weber_alpinlea @WhiteHouse He is a liar and a Traitor, Navarro can go to prison with the rest of the crime family."
"1060","Hello @WhiteHouse @StateDept please tell @POTUS we aren't buying the disinformation campaign warmongers feeding us… https://t.co/cO1HwtwyVn"
"1061","@USApoRusski @WhiteHouse <U+0443><U+0445><U+0430><U+0445><U+0430><U+0445><U+0430>! <U+043F><U+0443><U+0447><U+043A><U+043E><U+043C> <U+043F><U+043E> <U+0442><U+0440><U+0438> <U+0448><U+0442><U+0443><U+043A><U+0438>,  <U+043A><U+0430><U+043A> <U+0440><U+0435><U+0434><U+0438><U+0441><U+043A><U+0443> <U+043D><U+0430> <U+0440><U+044B><U+043D><U+043A><U+0435><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><U+044D><U+0442><U+043E> <U+0443><U+043C><U+043E><U+0440><U+0430>!"
"1062","@FoxNews @KatrinaPierson @MichelleObama @HillaryClinton @WhiteHouse HRC is a fricking crook, please say it the way it is CROOK"
"1063","@CoreyLMJones @ladydwinter @FoxNews @WhiteHouse @POTUS @FLOTUS KIMMEL, as well as ABC BRASS, must feel the heat ove… https://t.co/hfBx7V1jiy"
"1064","@jametteriley @BrutalVeracity @Gruvedawg @marty713 @Sambyhere @GrannyPi @NickpNick55 @seanm850 @scratchhere… https://t.co/f1DQLTLJvi"
